"id", "name", "isHighlight", "primaryImage", "link", "countryId", "departmentId", "accessionYear"
121, "Bureau table", False, "https://images.metmuseum.org/CRDImages/ad/original/DP108643.jpg", "https://www.metmuseum.org/art/collection/search/1047", 1, 1, 1910
122, "Butter Dish", False, "https://images.metmuseum.org/CRDImages/ad/original/174475.jpg", "https://www.metmuseum.org/art/collection/search/1048", 1, 1, 1946
123, "Butter Mold", False, "https://images.metmuseum.org/CRDImages/ad/original/97166.jpg", "https://www.metmuseum.org/art/collection/search/1052", 1, 1, 1934
124, "Butter Pat", False, "https://images.metmuseum.org/CRDImages/ad/original/DP258776.jpg", "https://www.metmuseum.org/art/collection/search/1055", 1, 1, 1969
125, "Button", False, "https://images.metmuseum.org/CRDImages/ad/original/59235.jpg", "https://www.metmuseum.org/art/collection/search/1066", 1, 1, 1925
126, "Medal", False, "https://images.metmuseum.org/CRDImages/ad/original/LC-83_2_47-001.jpg", "https://www.metmuseum.org/art/collection/search/1075", 1, 1, 1883
127, "Cabinet", True, "https://images.metmuseum.org/CRDImages/ad/original/85H_ACF3079R8.jpg", "https://www.metmuseum.org/art/collection/search/1076", 1, 1, 1910
128, "Commode", False, "https://images.metmuseum.org/CRDImages/ad/original/210041.jpg", "https://www.metmuseum.org/art/collection/search/1079", 1, 1, 1976
129, "Cachepot", False, "https://images.metmuseum.org/CRDImages/ad/original/167303.jpg", "https://www.metmuseum.org/art/collection/search/1086", 6, 1, 1958
130, "Cake plate", False, "https://images.metmuseum.org/CRDImages/ad/original/174198.jpg", "https://www.metmuseum.org/art/collection/search/1091", 1, 1, 1946
131, "Cake Plate", False, "https://images.metmuseum.org/CRDImages/ad/original/174199.jpg", "https://www.metmuseum.org/art/collection/search/1092", 1, 1, 1946
132, "Cake Stand", False, "https://images.metmuseum.org/CRDImages/ad/original/DP236713.jpg", "https://www.metmuseum.org/art/collection/search/1096", 1, 1, 1946
133, "Cake Tray", False, "https://images.metmuseum.org/CRDImages/ad/original/153432.jpg", "https://www.metmuseum.org/art/collection/search/1097", 1, 1, 1951
134, "Plaque", False, "https://images.metmuseum.org/CRDImages/ad/original/25473_83.2.142.jpg", "https://www.metmuseum.org/art/collection/search/1106", 2, 1, 1883
135, "Cameo Medallion", False, "https://images.metmuseum.org/CRDImages/ad/original/DP248081.jpg", "https://www.metmuseum.org/art/collection/search/1110", 2, 1, 1883
136, "Cameo Locket", False, "https://images.metmuseum.org/CRDImages/ad/original/25915.jpg", "https://www.metmuseum.org/art/collection/search/1115", 6, 1, 1906
137, "Campaign Button", False, "https://images.metmuseum.org/CRDImages/ad/original/ADA5443.jpg", "https://www.metmuseum.org/art/collection/search/1116", 1, 1, 1984
138, "Candelabrum", False, "https://images.metmuseum.org/CRDImages/ad/original/156531.jpg", "https://www.metmuseum.org/art/collection/search/1117", 6, 1, 1953
139, "Candle Box", False, "https://images.metmuseum.org/CRDImages/ad/original/97375.jpg", "https://www.metmuseum.org/art/collection/search/1150", 1, 1, 1934
140, "Candle Holder", False, "https://images.metmuseum.org/CRDImages/ad/original/DP147840.jpg", "https://www.metmuseum.org/art/collection/search/1153", 1, 1, 1924
141, "Candle Shade", False, "https://images.metmuseum.org/CRDImages/ad/original/10375.jpg", "https://www.metmuseum.org/art/collection/search/1156", 1, 1, 1911
142, "Candlestand", False, "https://images.metmuseum.org/CRDImages/ad/original/17654.jpg", "https://www.metmuseum.org/art/collection/search/1161", 1, 1, 1910
143, "Standing candlestick", False, "https://images.metmuseum.org/CRDImages/ad/original/132656.jpg", "https://www.metmuseum.org/art/collection/search/1170", 1, 1, 1944
144, "Candle Stand", False, "https://images.metmuseum.org/CRDImages/ad/original/DP157245.jpg", "https://www.metmuseum.org/art/collection/search/1174", 1, 1, 1966
145, "Stand", False, "https://images.metmuseum.org/CRDImages/ad/original/ADA207.jpg", "https://www.metmuseum.org/art/collection/search/1180", 1, 1, 1969
146, "Candlestick", False, "https://images.metmuseum.org/CRDImages/ad/original/DP250138.jpg", "https://www.metmuseum.org/art/collection/search/1183", 11, 1, 1911
147, "Candlestick and Candle", False, "https://images.metmuseum.org/CRDImages/ad/original/186607.jpg", "https://www.metmuseum.org/art/collection/search/1205", 2, 1, 1946
148, "Candlestick with Shade", False, "https://images.metmuseum.org/CRDImages/ad/original/81012-3.jpg", "https://www.metmuseum.org/art/collection/search/1370", 2, 1, 1930
149, "Candlestick and Shade", False, "https://images.metmuseum.org/CRDImages/ad/original/80749.jpg", "https://www.metmuseum.org/art/collection/search/1372", 2, 1, 1930
150, "Cane", False, "https://images.metmuseum.org/CRDImages/ad/original/204434.jpg", "https://www.metmuseum.org/art/collection/search/1396", 1, 1, 1974
151, "Cann", False, "https://images.metmuseum.org/CRDImages/ad/original/DP105882.jpg", "https://www.metmuseum.org/art/collection/search/1398", 1, 1, 1958
152, "Column Base and Capital", False, "https://images.metmuseum.org/CRDImages/ad/original/DP232787.jpg", "https://www.metmuseum.org/art/collection/search/1406", 6, 1, 1968
