id,name,isHighlight,primaryImage,link,countryId,departmentId,accessionYear
124,"Butter Pat",0,https://images.metmuseum.org/CRDImages/ad/original/DP258776.jpg,https://www.metmuseum.org/art/collection/search/1055,1,1,1969
125,Button,0,https://images.metmuseum.org/CRDImages/ad/original/59235.jpg,https://www.metmuseum.org/art/collection/search/1066,1,1,1925
126,Medal,0,https://images.metmuseum.org/CRDImages/ad/original/LC-83_2_47-001.jpg,https://www.metmuseum.org/art/collection/search/1075,1,1,1883
127,Cabinet,1,https://images.metmuseum.org/CRDImages/ad/original/85H_ACF3079R8.jpg,https://www.metmuseum.org/art/collection/search/1076,1,1,1910
128,Commode,0,https://images.metmuseum.org/CRDImages/ad/original/210041.jpg,https://www.metmuseum.org/art/collection/search/1079,1,1,1976
129,Cachepot,0,https://images.metmuseum.org/CRDImages/ad/original/167303.jpg,https://www.metmuseum.org/art/collection/search/1086,6,1,1958
130,"Cake plate",0,https://images.metmuseum.org/CRDImages/ad/original/174198.jpg,https://www.metmuseum.org/art/collection/search/1091,1,1,1946
131,"Cake Plate",0,https://images.metmuseum.org/CRDImages/ad/original/174199.jpg,https://www.metmuseum.org/art/collection/search/1092,1,1,1946
132,"Cake Stand",0,https://images.metmuseum.org/CRDImages/ad/original/DP236713.jpg,https://www.metmuseum.org/art/collection/search/1096,1,1,1946
133,"Cake Tray",0,https://images.metmuseum.org/CRDImages/ad/original/153432.jpg,https://www.metmuseum.org/art/collection/search/1097,1,1,1951
134,Plaque,0,https://images.metmuseum.org/CRDImages/ad/original/25473_83.2.142.jpg,https://www.metmuseum.org/art/collection/search/1106,2,1,1883
135,"Cameo Medallion",0,https://images.metmuseum.org/CRDImages/ad/original/DP248081.jpg,https://www.metmuseum.org/art/collection/search/1110,2,1,1883
136,"Cameo Locket",0,https://images.metmuseum.org/CRDImages/ad/original/25915.jpg,https://www.metmuseum.org/art/collection/search/1115,6,1,1906
137,"Campaign Button",0,https://images.metmuseum.org/CRDImages/ad/original/ADA5443.jpg,https://www.metmuseum.org/art/collection/search/1116,1,1,1984
138,Candelabrum,0,https://images.metmuseum.org/CRDImages/ad/original/156531.jpg,https://www.metmuseum.org/art/collection/search/1117,6,1,1953
139,"Candle Box",0,https://images.metmuseum.org/CRDImages/ad/original/97375.jpg,https://www.metmuseum.org/art/collection/search/1150,1,1,1934
140,"Candle Holder",0,https://images.metmuseum.org/CRDImages/ad/original/DP147840.jpg,https://www.metmuseum.org/art/collection/search/1153,1,1,1924
141,"Candle Shade",0,https://images.metmuseum.org/CRDImages/ad/original/10375.jpg,https://www.metmuseum.org/art/collection/search/1156,1,1,1911
142,Candlestand,0,https://images.metmuseum.org/CRDImages/ad/original/17654.jpg,https://www.metmuseum.org/art/collection/search/1161,1,1,1910
143,"Standing candlestick",0,https://images.metmuseum.org/CRDImages/ad/original/132656.jpg,https://www.metmuseum.org/art/collection/search/1170,1,1,1944
